-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature
-- table       	main
-- field 1	id
-- field 2	type
-- field 3	name
-- field 4	contig
-- field 5	start_pos
-- field 6	end_pos
-- field 7	strand
-- field 8	description
-- field 9	chrom_position
-- field 10	organism
-- field 11	GeneID
-- header
-- id	type	name	contig	start_pos	end_pos	strand	description	chrom_position	organism	GeneID
83333000001	SEQ_END	SEQ_END	NC_000913.2	4639675	4639675	DR	NC_000913.2; contig end	4639675..4639675	Escherichia coli K12	<NULL_VALUE>
b4572	CDS	ylbE	NC_000913.2	547581	548839	D	b4572	join(547581..547832,547832..548839)	Escherichia coli K12	4056025
NP_415053.1	CDS	ylbF	NC_000913.2	548850	549665	D	conserved protein	548850..549665	Escherichia coli K12	945195
NP_415054.1	CDS	ybcF	NC_000913.2	549662	550555	D	predicted carbamate kinase	549662..550555	Escherichia coli K12	944972
NP_415055.1	CDS	purK	NC_000913.2	550750	551817	R	N5-carboxyaminoimidazole ribonucleotide synthase	complement(550750..551817)	Escherichia coli K12	945153
NP_415056.1	CDS	purE	NC_000913.2	551814	552323	R	N5-carboxyaminoimidazole ribonucleotide mutase	complement(551814..552323)	Escherichia coli K12	949031
NP_415057.1	CDS	lpxH	NC_000913.2	552441	553163	R	UDP-2,3-diacylglucosamine pyrophosphatase	complement(552441..553163)	Escherichia coli K12	949053
NP_415058.1	CDS	ppiB	NC_000913.2	553166	553660	R	peptidyl-prolyl cis-trans isomerase B (rotamase B)	complement(553166..553660)	Escherichia coli K12	949038
NP_415059.1	CDS	cysS	NC_000913.2	553834	555219	D	cysteinyl-tRNA synthetase	553834..555219	Escherichia coli K12	946969
NP_415060.1	CDS	ybcI	NC_000913.2	555255	555776	R	conserved inner membrane protein	complement(555255..555776)	Escherichia coli K12	945155
NP_415061.2	CDS	ybcJ	NC_000913.2	555884	556096	R	predicted RNA-binding protein	complement(555884..556096)	Escherichia coli K12	945158
NP_415062.1	CDS	folD	NC_000913.2	556098	556964	R	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	complement(556098..556964)	Escherichia coli K12	945221
NP_415063.4	CDS	sfmA	NC_000913.2	557435	557977	D	predicted fimbrial-like adhesin protein	557435..557977	Escherichia coli K12	945522
NP_415064.1	CDS	sfmC	NC_000913.2	558197	558889	D	pilin chaperone, periplasmic	558197..558889	Escherichia coli K12	945367
NP_415065.1	CDS	sfmD	NC_000913.2	558920	561523	D	predicted outer membrane export usher protein	558920..561523	Escherichia coli K12	945160
NP_415066.2	CDS	sfmH	NC_000913.2	561559	562542	D	predicted fimbrial-like adhesin protein	561559..562542	Escherichia coli K12	945407
NP_415067.1	CDS	sfmF	NC_000913.2	562553	563068	D	predicted fimbrial-like adhesin protein	562553..563068	Escherichia coli K12	944977
NP_415068.1	CDS	fimZ	NC_000913.2	563071	563703	R	predicted DNA-binding transcriptional regulator	complement(563071..563703)	Escherichia coli K12	947079
NP_415069.1	CDS	intD	NC_000913.2	564038	565201	R	DLP12 prophage; predicted integrase	complement(564038..565201)	Escherichia coli K12	947162
b4633	CDS	xisD	NC_000913.2	565081	565302	R	b4633	complement(565081..565302)	Escherichia coli K12	5625559
b0539	CDS	ybcC	NC_000913.2	565321	565599	R	b0539	complement(565321..565599)	Escherichia coli K12	947902
b4508	CDS	ybcD	NC_000913.2	565602	565907	D	b4508	565602..565907	Escherichia coli K12	945299
b0542	CDS	renD	NC_000913.2	565907	567470	D	b0542	join(565907..565999,567258..567470)	Escherichia coli K12	945024
NP_415072.1	CDS	insE	NC_000913.2	566056	566364	D	IS3 element protein InsE	566056..566364	Escherichia coli K12	945759
NP_415073.1	CDS	insF	NC_000913.2	566361	567227	D	IS3 element protein InsF	566361..567227	Escherichia coli K12	947988
NP_415075.1	CDS	emrE	NC_000913.2	567538	567870	D	DLP12 prophage; multidrug resistance protein	567538..567870	Escherichia coli K12	948442
NP_415076.1	CDS	ybcK	NC_000913.2	568125	569651	D	DLP12 prophage; predicted recombinase	568125..569651	Escherichia coli K12	945166
NP_415077.1	CDS	ybcL	NC_000913.2	570116	570667	D	DLP12 prophage; predicted kinase inhibitor	570116..570667	Escherichia coli K12	945165
NP_415078.1	CDS	ybcM	NC_000913.2	570677	571474	D	DLP12 prophage; predicted DNA-binding transcriptional regulator	570677..571474	Escherichia coli K12	945163
YP_001165308.1	CDS	ylcH	NC_000913.2	571591	571692	D	hypothetical protein, DLP12 prophage	571591..571692	Escherichia coli K12	5061504
NP_415079.1	CDS	ybcN	NC_000913.2	571689	572144	D	DLP12 prophage; predicted protein	571689..572144	Escherichia coli K12	945162
NP_415080.1	CDS	ninE	NC_000913.2	572144	572314	D	DLP12 prophage; conserved protein	572144..572314	Escherichia coli K12	945151
NP_415081.1	CDS	ybcO	NC_000913.2	572307	572597	D	DLP12 prophage; predicted protein	572307..572597	Escherichia coli K12	945147
NP_415082.1	CDS	rusA	NC_000913.2	572594	572956	D	DLP12 prophage; endonuclease RUS	572594..572956	Escherichia coli K12	945174
YP_588439.1	CDS	ylcG	NC_000913.2	572953	573093	D	DLP12 prophage; predicted protein	572953..573093	Escherichia coli K12	1450240
NP_415083.1	CDS	ybcQ	NC_000913.2	573179	573562	D	DLP12 prophage; predicted antitermination protein	573179..573562	Escherichia coli K12	945177
b0553	CDS	nmpC	NC_000913.2	573752	576048	R	b0553	complement(join(573752..573809,575009..576048))	Escherichia coli K12	946786
NP_415084.1	CDS	insH	NC_000913.2	573960	574976	R	IS5 transposase and trans-activator	complement(573960..574976)	Escherichia coli K12	946163
NP_415086.1	CDS	essD	NC_000913.2	576621	576836	D	DLP12 prophage; predicted phage lysis protein	576621..576836	Escherichia coli K12	947545
NP_415087.1	CDS	ybcS	NC_000913.2	576836	577333	D	DLP12 prophage; predicted lysozyme	576836..577333	Escherichia coli K12	947539
NP_415088.1	CDS	rzpD	NC_000913.2	577330	577791	D	DLP12 prophage; predicted murein endopeptidase	577330..577791	Escherichia coli K12	945929
YP_588440.1	CDS	rzoD	NC_000913.2	577550	577732	D	DLP12 prophage; predicted lipoprotein	577550..577732	Escherichia coli K12	1450242
NP_415089.1	CDS	borD	NC_000913.2	577823	578116	R	DLP12 prophage; predicted lipoprotein	complement(577823..578116)	Escherichia coli K12	948980
NP_415090.2	CDS	ybcV	NC_000913.2	578407	578817	R	DLP12 prophage; predicted protein	complement(578407..578817)	Escherichia coli K12	945178
NP_415091.1	CDS	ybcW	NC_000913.2	579103	579309	D	DLP12 prophage; predicted protein	579103..579309	Escherichia coli K12	945175
YP_001165309.1	CDS	ylcI	NC_000913.2	579474	579668	R	hypothetical protein	complement(579474..579668)	Escherichia coli K12	5061499
NP_415092.1	CDS	nohB	NC_000913.2	580057	580602	D	DLP12 prophage; DNA packaging protein	580057..580602	Escherichia coli K12	945172
b4634	CDS	ylcF	NC_000913.2	580577	580885	D	b4634	580577..580885	Escherichia coli K12	5625560
b0561	CDS	tfaD	NC_000913.2	580883	581320	D	b0561	580883..581320	Escherichia coli K12	945171
b0562	CDS	ybcY	NC_000913.2	581375	582029	R	b0562	complement(581375..582029)	Escherichia coli K12	945170
b0563	CDS	tfaX	NC_000913.2	582176	582358	D	b0563	582176..582358	Escherichia coli K12	945183
NP_415096.1	CDS	appY	NC_000913.2	582904	583653	D	DLP12 prophage; DNA-binding transcriptional activator	582904..583653	Escherichia coli K12	948797
NP_415097.1	CDS	ompT	NC_000913.2	583903	584856	R	DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)	complement(583903..584856)	Escherichia coli K12	945185
NP_415098.1	CDS	envY	NC_000913.2	585370	586131	R	DNA-binding transcriptional activator of porin biosynthesis	complement(585370..586131)	Escherichia coli K12	949114
NP_415099.1	CDS	ybcH	NC_000913.2	586314	587204	R	predicted protein	complement(586314..587204)	Escherichia coli K12	945186
NP_415100.1	CDS	nfrA	NC_000913.2	587205	590177	R	bacteriophage N4 receptor, outer membrane subunit	complement(587205..590177)	Escherichia coli K12	944741
NP_415101.1	CDS	nfrB	NC_000913.2	590164	592401	R	bacteriophage N4 receptor, inner membrane subunit	complement(590164..592401)	Escherichia coli K12	945849
NP_415102.1	CDS	cusS	NC_000913.2	592551	593993	R	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	complement(592551..593993)	Escherichia coli K12	945978
NP_415103.1	CDS	cusR	NC_000913.2	593983	594666	R	DNA-binding response regulator in two-component regulatory system with CusS	complement(593983..594666)	Escherichia coli K12	945003
NP_415104.1	CDS	cusC	NC_000913.2	594823	596196	D	copper/silver efflux system, outer membrane component	594823..596196	Escherichia coli K12	946288
NP_415105.1	CDS	cusF	NC_000913.2	596354	596686	D	periplasmic copper-binding protein	596354..596686	Escherichia coli K12	945188
NP_415106.1	CDS	cusB	NC_000913.2	596702	597925	D	copper/silver efflux system, membrane fusion protein	596702..597925	Escherichia coli K12	945189
NP_415107.1	CDS	cusA	NC_000913.2	597937	601080	D	copper/silver efflux system, membrane component	597937..601080	Escherichia coli K12	945191
NP_415108.1	CDS	pheP	NC_000913.2	601182	602558	D	phenylalanine transporter	601182..602558	Escherichia coli K12	945199
NP_415109.1	CDS	ybdG	NC_000913.2	602639	603886	R	predicted mechanosensitive channel	complement(602639..603886)	Escherichia coli K12	946243
NP_415110.1	CDS	nfsB	NC_000913.2	603994	604647	R	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	complement(603994..604647)	Escherichia coli K12	945778
NP_415111.1	CDS	ybdF	NC_000913.2	604741	605109	R	conserved protein	complement(604741..605109)	Escherichia coli K12	948302
NP_415112.1	CDS	ybdJ	NC_000913.2	605174	605422	R	predicted inner membrane protein	complement(605174..605422)	Escherichia coli K12	947183
NP_415113.1	CDS	ybdK	NC_000913.2	605488	606606	R	gamma-glutamyl:cysteine ligase	complement(605488..606606)	Escherichia coli K12	947246
YP_025295.1	CDS	hokE	NC_000913.2	607059	607211	D	toxic polypeptide, small	607059..607211	Escherichia coli K12	2847715
NP_415114.1	CDS	insL	NC_000913.2	607288	608400	D	IS186/IS421 transposase	607288..608400	Escherichia coli K12	945200
NP_415115.1	CDS	entD	NC_000913.2	608682	609311	R	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	complement(608682..609311)	Escherichia coli K12	945194
NP_415116.1	CDS	fepA	NC_000913.2	609477	611717	R	iron-enterobactin outer membrane transporter	complement(609477..611717)	Escherichia coli K12	945193
NP_415117.1	CDS	fes	NC_000913.2	612038	613162	D	enterobactin/ferric enterobactin esterase	612038..613162	Escherichia coli K12	945181
YP_588441.1	CDS	ybdZ	NC_000913.2	613165	613383	D	conserved protein	613165..613383	Escherichia coli K12	1450243
NP_415118.1	CDS	entF	NC_000913.2	613380	617261	D	enterobactin synthase multienzyme complex component,  ATP-dependent	613380..617261	Escherichia coli K12	945184
NP_415119.1	CDS	fepE	NC_000913.2	617477	618610	D	regulator of length of O-antigen component of lipopolysaccharide chains	617477..618610	Escherichia coli K12	945180
NP_415120.1	CDS	fepC	NC_000913.2	618607	619422	R	iron-enterobactin transporter subunit	complement(618607..619422)	Escherichia coli K12	945201
NP_415121.1	CDS	fepG	NC_000913.2	619419	620411	R	iron-enterobactin transporter subunit	complement(619419..620411)	Escherichia coli K12	945209
NP_415122.1	CDS	fepD	NC_000913.2	620408	621412	R	iron-enterobactin transporter subunit	complement(620408..621412)	Escherichia coli K12	945214
NP_415123.1	CDS	entS	NC_000913.2	621523	622773	D	predicted transporter	621523..622773	Escherichia coli K12	946268
NP_415124.1	CDS	fepB	NC_000913.2	622777	623733	R	iron-enterobactin transporter subunit	complement(622777..623733)	Escherichia coli K12	947538
NP_415125.1	CDS	entC	NC_000913.2	624108	625283	D	isochorismate synthase 1	624108..625283	Escherichia coli K12	945511
NP_415126.1	CDS	entE	NC_000913.2	625293	626903	D	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	625293..626903	Escherichia coli K12	947426
NP_415127.1	CDS	entB	NC_000913.2	626917	627774	D	isochorismatase	626917..627774	Escherichia coli K12	946178
NP_415128.1	CDS	entA	NC_000913.2	627774	628520	D	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	627774..628520	Escherichia coli K12	945284
NP_415129.1	CDS	ybdB	NC_000913.2	628523	628936	D	conserved protein	628523..628936	Escherichia coli K12	945215
NP_415130.1	CDS	cstA	NC_000913.2	629117	631222	D	carbon starvation protein	629117..631222	Escherichia coli K12	945213
YP_588442.1	CDS	ybdD	NC_000913.2	631405	631602	D	conserved protein	631405..631602	Escherichia coli K12	949021
NP_415132.1	CDS	ybdH	NC_000913.2	631612	632700	R	predicted oxidoreductase	complement(631612..632700)	Escherichia coli K12	945212
NP_415133.1	CDS	ybdL	NC_000913.2	632809	633969	D	methionine aminotransferase, PLP-dependent	632809..633969	Escherichia coli K12	945211
NP_415134.1	CDS	ybdM	NC_000913.2	633970	634599	R	conserved protein	complement(633970..634599)	Escherichia coli K12	945206
NP_415135.1	CDS	ybdN	NC_000913.2	634572	635792	R	conserved protein	complement(634572..635792)	Escherichia coli K12	945205
NP_415136.1	CDS	ybdO	NC_000913.2	635939	636841	R	predicted DNA-binding transcriptional regulator	complement(635939..636841)	Escherichia coli K12	945216
NP_415137.2	CDS	dsbG	NC_000913.2	637050	637796	R	periplasmic disulfide isomerase/thiol-disulphide oxidase	complement(637050..637796)	Escherichia coli K12	945224
NP_415138.1	CDS	ahpC	NC_000913.2	638168	638731	D	alkyl hydroperoxide reductase, C22 subunit	638168..638731	Escherichia coli K12	945225
NP_415139.2	CDS	ahpF	NC_000913.2	638976	640541	D	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	638976..640541	Escherichia coli K12	947540
NP_415140.1	CDS	uspG	NC_000913.2	640662	641090	R	universal stress protein UP12	complement(640662..641090)	Escherichia coli K12	945229
NP_415141.1	CDS	ybdR	NC_000913.2	641311	642549	D	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	641311..642549	Escherichia coli K12	949067
NP_415143.1	CDS	rnk	NC_000913.2	642780	643190	R	regulator of nucleoside diphosphate kinase	complement(642780..643190)	Escherichia coli K12	947546
NP_415144.1	CDS	rna	NC_000913.2	643420	644226	R	ribonuclease I	complement(643420..644226)	Escherichia coli K12	949065
NP_415145.1	CDS	citT	NC_000913.2	644340	645803	R	citrate:succinate antiporter	complement(644340..645803)	Escherichia coli K12	949070
NP_415146.1	CDS	citG	NC_000913.2	645854	646732	R	triphosphoribosyl-dephospho-CoA transferase	complement(645854..646732)	Escherichia coli K12	946395
NP_415147.1	CDS	citX	NC_000913.2	646707	647258	R	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	complement(646707..647258)	Escherichia coli K12	949084
NP_415148.1	CDS	citF	NC_000913.2	647262	648794	R	citrate lyase, citrate-ACP transferase (alpha) subunit	complement(647262..648794)	Escherichia coli K12	945230
NP_415149.4	CDS	citE	NC_000913.2	648805	649713	R	citrate lyase, citryl-ACP lyase (beta) subunit	complement(648805..649713)	Escherichia coli K12	945406
NP_415150.1	CDS	citD	NC_000913.2	649710	650006	R	citrate lyase, acyl carrier (gamma) subunit	complement(649710..650006)	Escherichia coli K12	945415
NP_415151.4	CDS	citC	NC_000913.2	650021	651079	R	citrate lyase synthetase	complement(650021..651079)	Escherichia coli K12	945231
NP_415152.1	CDS	dpiB	NC_000913.2	651458	653116	D	sensory histidine kinase in two-component regulatory system with citB	651458..653116	Escherichia coli K12	945233
NP_415153.1	CDS	dpiA	NC_000913.2	653085	653765	D	DNA-binding response regulator in two-component regulatory system with citA	653085..653765	Escherichia coli K12	947008
NP_415154.1	CDS	dcuC	NC_000913.2	653806	655191	R	anaerobic C4-dicarboxylate transport	complement(653806..655191)	Escherichia coli K12	945000
NP_415155.1	CDS	pagP	NC_000913.2	655780	656340	D	palmitoyl transferase for Lipid A	655780..656340	Escherichia coli K12	946360
NP_415156.1	CDS	cspE	NC_000913.2	656515	656724	D	DNA-binding transcriptional repressor	656515..656724	Escherichia coli K12	947024
NP_415157.1	CDS	crcB	NC_000913.2	656778	657161	R	predicted inner membrane protein associated with chromosome condensation	complement(656778..657161)	Escherichia coli K12	945798
b4581	CDS	ybeM	NC_000913.2	657254	658041	D	b4581	join(657254..657448,657448..658041)	Escherichia coli K12	4056041
NP_415160.1	CDS	tatE	NC_000913.2	658170	658373	D	TatABCE protein translocation system subunit	658170..658373	Escherichia coli K12	945228
NP_415161.1	CDS	lipA	NC_000913.2	658474	659439	R	lipoate synthase	complement(658474..659439)	Escherichia coli K12	945227
NP_415162.4	CDS	ybeF	NC_000913.2	659648	660601	R	predicted DNA-binding transcriptional regulator	complement(659648..660601)	Escherichia coli K12	945219
NP_415163.2	CDS	lipB	NC_000913.2	660860	661501	R	lipoyl-protein ligase	complement(660860..661501)	Escherichia coli K12	945217
NP_415164.1	CDS	ybeD	NC_000913.2	661602	661865	R	conserved protein	complement(661602..661865)	Escherichia coli K12	945220
NP_415165.1	CDS	dacA	NC_000913.2	661975	663186	R	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	complement(661975..663186)	Escherichia coli K12	945222
NP_415166.1	CDS	rlpA	NC_000913.2	663325	664413	R	minor lipoprotein	complement(663325..664413)	Escherichia coli K12	945241
NP_415167.1	CDS	mrdB	NC_000913.2	664424	665536	R	cell wall shape-determining protein	complement(664424..665536)	Escherichia coli K12	945238
NP_415168.1	CDS	mrdA	NC_000913.2	665539	667440	R	transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2)	complement(665539..667440)	Escherichia coli K12	945240
NP_415169.1	CDS	ybeA	NC_000913.2	667471	667938	R	conserved protein	complement(667471..667938)	Escherichia coli K12	945239
NP_415170.4	CDS	ybeB	NC_000913.2	667942	668259	R	predicted protein	complement(667942..668259)	Escherichia coli K12	945237
NP_415171.1	CDS	cobC	NC_000913.2	668519	669130	R	predicted alpha-ribazole-5'-P phosphatase	complement(668519..669130)	Escherichia coli K12	945246
NP_415172.1	CDS	nadD	NC_000913.2	669154	669795	R	nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent	complement(669154..669795)	Escherichia coli K12	945248
NP_415173.1	CDS	holA	NC_000913.2	669797	670828	R	DNA polymerase III, delta subunit	complement(669797..670828)	Escherichia coli K12	947573
NP_415174.1	CDS	rlpB	NC_000913.2	670828	671409	R	minor lipoprotein	complement(670828..671409)	Escherichia coli K12	946257
NP_415175.1	CDS	leuS	NC_000913.2	671424	674006	R	leucyl-tRNA synthetase	complement(671424..674006)	Escherichia coli K12	947497
NP_415176.1	CDS	ybeL	NC_000913.2	674241	674723	D	conserved protein	674241..674723	Escherichia coli K12	945252
NP_415177.4	CDS	ybeQ	NC_000913.2	674793	675770	R	conserved protein	complement(674793..675770)	Escherichia coli K12	945251
NP_415178.1	CDS	ybeR	NC_000913.2	675934	676641	D	predicted protein	675934..676641	Escherichia coli K12	945249
NP_415179.1	CDS	djlB	NC_000913.2	676638	678065	D	predicted chaperone	676638..678065	Escherichia coli K12	945245
NP_415180.1	CDS	ybeT	NC_000913.2	678075	678629	R	conserved outer membrane protein	complement(678075..678629)	Escherichia coli K12	945243
NP_415181.1	CDS	ybeU	NC_000913.2	678731	679438	D	predicted tRNA ligase	678731..679438	Escherichia coli K12	945244
NP_415182.1	CDS	djlC	NC_000913.2	679435	680886	D	Hsc56 co-chaperone of HscC	679435..680886	Escherichia coli K12	945253
NP_415183.1	CDS	hscC	NC_000913.2	680946	682616	R	Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription	complement(680946..682616)	Escherichia coli K12	945218
NP_415184.1	CDS	rihA	NC_000913.2	682700	683635	R	ribonucleoside hydrolase 1	complement(682700..683635)	Escherichia coli K12	945503
NP_415185.1	CDS	gltL	NC_000913.2	683753	684478	R	glutamate and aspartate transporter subunit	complement(683753..684478)	Escherichia coli K12	945254
NP_415186.1	CDS	gltK	NC_000913.2	684478	685152	R	glutamate and aspartate transporter subunit	complement(684478..685152)	Escherichia coli K12	947354
NP_415187.1	CDS	gltJ	NC_000913.2	685152	685892	R	glutamate and aspartate transporter subunit	complement(685152..685892)	Escherichia coli K12	945443
NP_415188.1	CDS	gltI	NC_000913.2	686062	686970	R	glutamate and aspartate transporter subunit	complement(686062..686970)	Escherichia coli K12	946938
NP_415189.1	CDS	insH	NC_000913.2	687220	688236	R	IS5 transposase and trans-activator	complement(687220..688236)	Escherichia coli K12	944917
NP_415190.1	CDS	lnt	NC_000913.2	688566	690104	R	apolipoprotein N-acyltransferase	complement(688566..690104)	Escherichia coli K12	946201
NP_415191.1	CDS	ybeX	NC_000913.2	690129	691007	R	predicteed ion transport	complement(690129..691007)	Escherichia coli K12	946417
NP_415192.1	CDS	ybeY	NC_000913.2	691097	691564	R	conserved protein	complement(691097..691564)	Escherichia coli K12	946430
NP_415193.2	CDS	ybeZ	NC_000913.2	691561	692601	R	predicted protein with nucleoside triphosphate hydrolase domain	complement(691561..692601)	Escherichia coli K12	948044
NP_415194.1	CDS	miaB	NC_000913.2	692754	694178	R	isopentenyl-adenosine A37 tRNA methylthiolase	complement(692754..694178)	Escherichia coli K12	945260
NP_415195.1	CDS	ubiF	NC_000913.2	694324	695499	D	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol oxygenase	694324..695499	Escherichia coli K12	945261
NP_415200.1	CDS	asnB	NC_000913.2	696736	698400	R	asparagine synthetase B	complement(696736..698400)	Escherichia coli K12	945281
NP_415201.1	CDS	nagD	NC_000913.2	698797	699549	R	UMP phosphatase	complement(698797..699549)	Escherichia coli K12	945283
NP_415202.1	CDS	nagC	NC_000913.2	699597	700817	R	DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine	complement(699597..700817)	Escherichia coli K12	945285
NP_415203.1	CDS	nagA	NC_000913.2	700826	701974	R	N-acetylglucosamine-6-phosphate deacetylase	complement(700826..701974)	Escherichia coli K12	945289
NP_415204.1	CDS	nagB	NC_000913.2	702034	702834	R	glucosamine-6-phosphate deaminase	complement(702034..702834)	Escherichia coli K12	945290
NP_415205.1	CDS	nagE	NC_000913.2	703167	705113	D	fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB , and IIA components	703167..705113	Escherichia coli K12	945292
NP_415206.1	CDS	glnS	NC_000913.2	705316	706980	D	glutamyl-tRNA synthetase	705316..706980	Escherichia coli K12	945310
NP_415207.1	CDS	ybfM	NC_000913.2	707557	708963	D	predicted outer membrane porin	707557..708963	Escherichia coli K12	945296
NP_415208.1	CDS	ybfN	NC_000913.2	709013	709339	D	predicted lipoprotein	709013..709339	Escherichia coli K12	945713
NP_415209.1	CDS	fur	NC_000913.2	709423	709869	R	DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport	complement(709423..709869)	Escherichia coli K12	945295
YP_001491546.1	CDS	uof	NC_000913.2	709862	709948	R	ryhB-regulated fur leader peptide	complement(709862..709948)	Escherichia coli K12	5625562
NP_415210.1	CDS	fldA	NC_000913.2	710158	710688	R	flavodoxin 1	complement(710158..710688)	Escherichia coli K12	945293
NP_415211.2	CDS	ybfE	NC_000913.2	710828	711121	R	lexA-regulated predicted protein	complement(710828..711121)	Escherichia coli K12	945291
NP_415212.1	CDS	ybfF	NC_000913.2	711261	712025	R	conserved protein	complement(711261..712025)	Escherichia coli K12	945288
NP_415213.1	CDS	seqA	NC_000913.2	712210	712755	D	regulatory protein for replication initiation	712210..712755	Escherichia coli K12	945272
NP_415214.1	CDS	pgm	NC_000913.2	712781	714421	D	phosphoglucomutase	712781..714421	Escherichia coli K12	945271
NP_415215.1	CDS	ybfP	NC_000913.2	714635	715129	D	predicted protein	714635..715129	Escherichia coli K12	945274
b0691	CDS	ybfG	NC_000913.2	715170	715820	R	b0691	complement(715170..715820)	Escherichia coli K12	945287
b4636	CDS	ybfI	NC_000913.2	715944	716093	R	b4636	complement(715944..716093)	Escherichia coli K12	5625563
NP_415219.1	CDS	potE	NC_000913.2	716169	717488	R	putrescine/proton symporter: putrescine/ornithine antiporter	complement(716169..717488)	Escherichia coli K12	945422
NP_415220.1	CDS	speF	NC_000913.2	717485	719683	R	ornithine decarboxylase isozyme, inducible	complement(717485..719683)	Escherichia coli K12	945297
YP_001165310.1	CDS	ybfK	NC_000913.2	719806	720063	D	hypothetical protein	719806..720063	Escherichia coli K12	948953
NP_415222.1	CDS	kdpE	NC_000913.2	720279	720956	R	DNA-binding response regulator in two-component regulatory system with KdpD	complement(720279..720956)	Escherichia coli K12	945302
NP_415223.1	CDS	kdpD	NC_000913.2	720953	723637	R	fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein	complement(720953..723637)	Escherichia coli K12	946744
NP_415224.1	CDS	kdpC	NC_000913.2	723630	724202	R	potassium translocating ATPase, subunit C	complement(723630..724202)	Escherichia coli K12	947508
NP_415225.1	CDS	kdpB	NC_000913.2	724211	726259	R	potassium translocating ATPase, subunit B	complement(724211..726259)	Escherichia coli K12	947450
NP_415226.1	CDS	kdpA	NC_000913.2	726282	727955	R	potassium translocating ATPase, subunit A	complement(726282..727955)	Escherichia coli K12	946045
YP_588443.1	CDS	kdpF	NC_000913.2	727955	728044	R	potassium ion accessory transporter subunit	complement(727955..728044)	Escherichia coli K12	948946
NP_415228.1	CDS	ybfA	NC_000913.2	728357	728563	D	predicted protein	728357..728563	Escherichia coli K12	947452
NP_415229.1	CDS	rhsC	NC_000913.2	728806	732999	D	rhsC element core protein RshC	728806..732999	Escherichia coli K12	945306
NP_415230.1	CDS	ybfB	NC_000913.2	732999	733325	D	predicted inner membrane protein	732999..733325	Escherichia coli K12	947566
b0703	CDS	ybfO	NC_000913.2	733356	734876	D	b0703	733356..734876	Escherichia coli K12	946124
NP_415232.1	CDS	ybfC	NC_000913.2	734873	735442	D	predicted protein	734873..735442	Escherichia coli K12	947288
YP_001165311.1	CDS	ybfQ	NC_000913.2	735668	735922	D	predicted transposase	735668..735922	Escherichia coli K12	1450245
b0705	CDS	ybfL	NC_000913.2	736048	737184	D	b0705	736048..737184	Escherichia coli K12	947075
NP_415234.1	CDS	ybfD	NC_000913.2	737315	738076	D	conserved protein	737315..738076	Escherichia coli K12	945176
NP_415235.1	CDS	ybgA	NC_000913.2	738224	738733	D	conserved protein	738224..738733	Escherichia coli K12	944853
NP_415236.1	CDS	phr	NC_000913.2	738730	740148	D	deoxyribodipyrimidine photolyase, FAD-binding	738730..740148	Escherichia coli K12	947005
NP_415237.1	CDS	ybgH	NC_000913.2	740298	741779	R	predicted transporter	complement(740298..741779)	Escherichia coli K12	947368
NP_415238.1	CDS	ybgI	NC_000913.2	742050	742793	D	conserved metal-binding protein	742050..742793	Escherichia coli K12	945824
NP_415239.1	CDS	ybgJ	NC_000913.2	742816	743472	D	predicted enzyme subunit	742816..743472	Escherichia coli K12	945311
NP_415240.1	CDS	ybgK	NC_000913.2	743466	744398	D	predicted enzyme subunit	743466..744398	Escherichia coli K12	945317
NP_415241.1	CDS	ybgL	NC_000913.2	744388	745122	D	predicted lactam utilization protein	744388..745122	Escherichia coli K12	945318
NP_415242.1	CDS	nei	NC_000913.2	745158	745949	D	endonuclease VIII/ 5-formyluracil/5-hydroxymethyluracil DNA glycosylase	745158..745949	Escherichia coli K12	945320
NP_415243.4	CDS	abrB	NC_000913.2	745946	746992	R	predicted regulator	complement(745946..746992)	Escherichia coli K12	945321
NP_415244.4	CDS	ybgO	NC_000913.2	747144	748205	R	predicted fimbrial-like adhesin protein	complement(747144..748205)	Escherichia coli K12	947550
NP_415245.1	CDS	ybgP	NC_000913.2	748202	748930	R	predicted assembly protein	complement(748202..748930)	Escherichia coli K12	945110
NP_415246.2	CDS	ybgQ	NC_000913.2	748945	751392	R	predicted outer membrane protein	complement(748945..751392)	Escherichia coli K12	946537
